time,x,rho,u,p,T,energy
0.237574,0.575,0.0858557,1,10000,322.198,291187
0.237574,0.585,0.0859884,1,10000,321.701,290737
0.237574,0.595,0.0861215,1,10000,321.203,290288
0.237574,0.605,0.086255,1,10000,320.706,289839
0.237574,0.615,0.086389,1,10000,320.209,289389
0.237574,0.625,0.0865235,1,10000,319.711,288939
0.237574,0.635,0.0866584,1,10000,319.213,288490
0.237574,0.645,0.0867938,1,10000,318.715,288040
0.237574,0.655,0.0869297,1,10000,318.217,287589
0.237574,0.665,0.0870661,1,10000,317.719,287139
0.237574,0.675,0.087203,1,10000,317.22,286688
0.237574,0.685,0.0873405,1,10000,316.72,286237
0.237574,0.695,0.0874785,1,10000,316.221,285785
0.237574,0.705,0.0876172,1,10000,315.72,285333
0.237574,0.715,0.0877564,1,10000,315.219,284880
0.237574,0.725,0.0878963,1,10000,314.718,284427
0.237574,0.735,0.0880368,1,10000,314.215,283973
0.237574,0.745,0.088178,1,10000,313.712,283518
0.237574,0.755,0.0883199,1,10000,313.208,283062
0.237574,0.765,0.0884626,1,10000,312.703,282606
0.237574,0.775,0.088606,1,10000,312.197,282148
0.237574,0.785,0.0887502,1,10000,311.689,281690
0.237574,0.795,0.0888953,1,10000,311.181,281230
0.237574,0.805,0.0890412,1,10000,310.671,280769
0.237574,0.815,0.0891881,1,10000,310.159,280307
0.237574,0.825,0.0893358,1,10000,309.646,279843
0.237574,0.835,0.0894846,1,10000,309.132,279378
0.237574,0.845,0.0896343,1,10000,308.615,278911
0.237574,0.855,0.0897852,1,10000,308.097,278443
0.237574,0.865,0.0899371,1,10000,307.576,277972
0.237574,0.875,0.0900902,1,10000,307.054,277500
0.237574,0.885,0.0902445,1,10000,306.529,277026
0.237574,0.895,0.0904,1,10000,306.001,276549
0.237574,0.905,0.0905569,1,10000,305.471,276070
0.237574,0.915,0.090715,1,10000,304.939,275589
0.237574,0.925,0.0908746,1,10000,304.403,275105
0.237574,0.935,0.0910356,1,10000,303.865,274618
0.237574,0.945,0.0911982,1,10000,303.323,274129
0.237574,0.955,0.0913623,1,10000,302.778,273636
0.237574,0.965,0.091528,1,10000,302.23,273141
0.237574,0.975,0.0916954,1,10000,301.678,272642
0.237574,0.985,0.0918646,1,10000,301.123,272140
0.237574,0.995,0.0920355,1,10000,300.563,271635
0.474736,0.005,0.0791121,1,10000,349.662,316008
0.474736,0.015,0.0791893,1,10000,349.321,315700
0.474736,0.025,0.0792672,1,10000,348.978,315389
0.474736,0.035,0.0793459,1,10000,348.632,315077
0.474736,0.045,0.0794254,1,10000,348.283,314761
